Course,Birth_Date,Gender,Nationality,Arrival_Medium,Arrival_Company,Arrival_Number,Name,Comienzo,Llegada
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/02/2021 to 07/16/2021,17/06/2004,Male,USA,Plane,Delta Airlines,DL126,Dakota Mcconnell,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/09/2021 to 07/23/2021,10/10/2006,Female,USA,Plane,American Airlines,AA94,Rachel Johnson,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/09/2021 to 07/23/2021,05/11/2004,Male,UNITED KINGDOM,Train,Metro de Madrid,Line 8,Sean Moon,2021-07-09,2022-07-08
Valverde TEENS-VOLUNTEER 1 WEEK from 07/09/2021 to 07/16/2021,24/10/2004,Female,UNITED KINGDOM,Plane,Iberia,IB3633,Amanda Ramirez,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/02/2021 to 07/09/2021,23/12/2005,Female,UNITED KINGDOM,Plane,Iberia,IB3633,Lori Moore,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/09/2021 to 07/23/2021,24/11/2004,Male,SPAIN,Train,Renfe ,AVLO 06304,Kenneth Wiley,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/02/2021 to 07/09/2021,06/10/2005,Male,USA,Plane,Alitalia,AZ58,William Massey,2021-07-02,2022-07-01
Valverde TEENS-VOLUNTEER 1 WEEK from 07/09/2021 to 07/16/2021,02/02/2004,Female,FRANCE,Plane,Iberia Express,I23633,Jennifer Kim,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/02/2021 to 07/09/2021,14/10/2005,Female,UNITED KINGDOM,Plane,Iberia,IB3633,Teresa Burns,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/09/2021 to 07/23/2021,26/04/2003,Female,CANADA,Plane,Lufthansa,LH1112,Katelyn Perez,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/16/2021 to 07/23/2021,28/11/2005,Male,USA,Plane,American Airlines ,AA94,Matthew Gardner,2021-07-16,2022-07-15
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/16/2021 to 07/23/2021,24/08/2006,Male,UNITED KINGDOM,Plane,Iberia ,IB3177,Timothy Soto,2021-07-16,2022-07-15
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/02/2021 to 07/16/2021,23/12/2003,Female,IRELAND,Plane,Ryanair,FR7256,Kelly Perez,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/02/2021 to 07/09/2021,28/07/2006,Male,NETHERLANDS,Plane,Brussels Airlines,SN3721,Joseph Dean,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/09/2021 to 07/23/2021,16/09/2005,Female,USA,Plane,Delta Airlines,DL126,Darlene Fields,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/09/2021 to 07/16/2021,02/12/2005,Male,UNITED KINGDOM,Plane,Iberia,I23793,Albert Fisher,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/09/2021 to 07/23/2021,19/11/2003,Male,UNITED KINGDOM,Train,Renfe,AVE02093,Alejandro Haley,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/09/2021 to 07/23/2021,28/02/2007,Male,UNITED KINGDOM,Train,Renfe,AVE02093,Mark Copeland,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/09/2021 to 07/23/2021,24/05/2005,Male,IRELAND,Plane,BA/Iberia,BA7053,Jamie Hernandez,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/02/2021 to 07/09/2021,02/02/2005,Female,IRELAND,Plane,Ryanair,FR7256,Susan Durham,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/09/2021 to 07/23/2021,21/09/2004,Female,USA,Plane,Iberia,BA4264,Shirley Oliver,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/09/2021 to 07/23/2021,08/01/2004,Female,UNITED KINGDOM,Plane,Iberia,IB3163,Rebekah Aguirre,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/16/2021 to 07/23/2021,03/04/2004,Male,UNITED KINGDOM,Plane,RyanAir,FR7256,Robert Flores,2021-07-16,2022-07-15
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/02/2021 to 07/09/2021,17/08/2004,Female,IRELAND,Plane,Ryanair,FR7256,Ashley Lopez,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/16/2021 to 07/23/2021,29/09/2003,Female,USA,Plane,Delta Airlines,DL126,Cynthia Bryant,2021-07-16,2022-07-15
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/09/2021 to 07/23/2021,19/01/2004,Male,IRELAND,Plane,BA/Iberia,BA7053,Maxwell Hanson,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/02/2021 to 07/09/2021,18/02/2005,Female,UNITED KINGDOM,Plane,iberia,IB3633,Danielle Martinez,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/02/2021 to 07/16/2021,19/08/2003,Male,IRELAND,Plane,Ryanair,FR7256,Ronald Baker,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/16/2021 to 07/23/2021,22/07/2006,Female,UNITED KINGDOM,Plane,British Airways,BA0458,Denise Morgan,2021-07-16,2022-07-15
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/16/2021 to 07/23/2021,02/12/2004,Male,NEW ZEALAND,Plane,Iberia,IB3633,David Harris,2021-07-16,2022-07-15
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/02/2021 to 07/09/2021,08/07/2005,Female,USA,Plane,Iberia,IB3405,Cassandra Mcdaniel,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/09/2021 to 07/23/2021,16/11/2005,Female,USA,Plane,Delta Airlines,DL126,Janice Schmidt,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/09/2021 to 07/23/2021,24/07/2006,Female,USA,Plane,American Airlines ,AA94,Mary Scott,2021-07-09,2022-07-08
Valverde TEENS-VOLUNTEER 1 WEEK from 07/09/2021 to 07/16/2021,30/01/2004,Male,UNITED KINGDOM,Plane,Ryanair,FR7256,Michael Bonilla,2021-07-09,2022-07-08
Valverde TEENS-VOLUNTEER 1 WEEK from 07/09/2021 to 07/16/2021,25/09/2003,Female,BELGIUM,Plane,Brussels Airlines,SN3721,Amber Hernandez,2021-07-09,2022-07-08
Valverde TEENS-VOLUNTEER 1 WEEK from 07/09/2021 to 07/16/2021,12/01/2005,Female,IRELAND,Plane,Ryan air ,FR7256,Lisa Dorsey,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/02/2021 to 07/16/2021,20/06/2008,Female,UNITED KINGDOM,Train,Renfe,AVE 02103,Dr. Margaret Jackson MD,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/02/2021 to 07/09/2021,20/12/2003,Male,UNITED KINGDOM,Plane,Ryanair,FR5994,Joshua Gonzalez,2021-07-02,2022-07-01
Valverde TEENS-VOLUNTEER 1 WEEK from 07/09/2021 to 07/16/2021,02/07/2004,Female,IRELAND,Plane,Ryanair,FR7256,Kathleen Hernandez,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/16/2021 to 07/23/2021,22/07/2006,Female,UNITED KINGDOM,Plane,British Airways,BA0458,Mrs. Kimberly Salazar DDS,2021-07-16,2022-07-15
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/02/2021 to 07/16/2021,07/09/2004,Male,UNITED KINGDOM,Train,Renfe,AVE 02103,Christopher Mills,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/09/2021 to 07/23/2021,20/07/2003,Male,ISRAEL,Plane,British Airways,BA7053,Adam Ingram,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/02/2021 to 07/09/2021,04/04/2006,Female,SPAIN,Plane,TAP Air Portugal,TP 1024 ,Tiffany Horton,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/02/2021 to 07/16/2021,26/06/2006,Male,UNITED KINGDOM,Train,Renfe,AVE 02103,Andrew Smith,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/16/2021 to 07/23/2021,10/09/2003,Male,FRANCE,Plane,Iberia ,IB3633,Evan Hartman,2021-07-16,2022-07-15
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/09/2021 to 07/23/2021,15/11/2003,Female,UNITED KINGDOM,Plane,Iberia,IB3163,Miranda Smith,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/16/2021 to 07/23/2021,08/10/2005,Male,UNITED KINGDOM,Plane,Iberia,BA7053,Peter Whitaker,2021-07-16,2022-07-15
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/02/2021 to 07/09/2021,09/11/2006,Male,UNITED KINGDOM,Plane,Iberia,BA7053,Timothy Russo,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/02/2021 to 07/09/2021,02/02/2005,Female,USA,Plane,DELTA/KLM,KL1039 ,Casey Fuentes,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/09/2021 to 07/23/2021,28/08/2004,Female,UNITED KINGDOM,Plane,Easy Jet,EZY6995,Lynn Clay,2021-07-09,2022-07-08
Valverde TEENS-VOLUNTEER 1 WEEK from 07/09/2021 to 07/16/2021,19/06/2004,Female,UNITED KINGDOM,Plane,Ryanair,FR5994,Cassandra Powell,2021-07-09,2022-07-08
Valverde TEENS-VOLUNTEER 1 WEEK from 07/09/2021 to 07/16/2021,27/06/2003,Male,USA,Plane,Delta Airlines,DL126,Randall Peterson III,2021-07-09,2022-07-08
Valverde TEENS-VOLUNTEER 1 WEEK from 07/09/2021 to 07/16/2021,14/08/2004,Female,IRELAND,Plane,Ryan air,FR7256,Brittany Palmer,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/02/2021 to 07/09/2021,23/06/2006,Male,UNITED KINGDOM,Plane,Brussels Airlines,SN3721,Jeremy Mercado,2021-07-02,2022-07-01
Valverde TEENS-VOLUNTEER 1 WEEK from 07/09/2021 to 07/16/2021,28/12/2004,Female,IRELAND,Plane,Ryanair ,FR7256,Felicia Velez,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/16/2021 to 07/23/2021,11/01/2005,Female,UNITED KINGDOM,Plane,Air Europa Express,UX5036,Amanda Cortez,2021-07-16,2022-07-15
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/09/2021 to 07/23/2021,25/02/2006,Male,UNITED KINGDOM,Plane,Iberia,IB3633,Joseph Olson,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/02/2021 to 07/09/2021,14/08/2004,Male,UNITED KINGDOM,Plane,Turkish Airlines ,TK1857,James Bowman,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/02/2021 to 07/09/2021,01/10/2003,Male,USA,Plane,Virgin Atlantic,VS 3889,Brian Nguyen,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/16/2021 to 07/23/2021,11/10/2004,Female,USA,Plane,Delta Airlines,DL126,Jessica Contreras,2021-07-16,2022-07-15
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/02/2021 to 07/09/2021,20/07/2004,Female,IRELAND,Plane,Ryanair,FR7256,Sharon James DDS,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/16/2021 to 07/23/2021,05/06/2005,Male,UNITED KINGDOM,Plane,Iberia,IB3177,Daniel Blackwell,2021-07-16,2022-07-15
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/02/2021 to 07/16/2021,04/10/2004,Male,UNITED KINGDOM,Train,Renfe,AVE 02103,Mark Reyes,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/16/2021 to 07/23/2021,01/09/2003,Female,UNITED KINGDOM,Plane,Easy Jet ,EZY6995,Jessica White,2021-07-16,2022-07-15
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/02/2021 to 07/16/2021,14/07/2004,Female,IRELAND,Plane,Ryanair,FR7256,Alyssa Williams,2021-07-02,2022-07-01
Valverde TEENS-VOLUNTEER 1 WEEK from 07/09/2021 to 07/16/2021,29/04/2005,Male,USA,Plane,Delta,DL126,Brian Bowers,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/09/2021 to 07/23/2021,02/01/2004,Female,USA,Plane,DELTA,DL126,Catherine Lopez,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/02/2021 to 07/16/2021,05/03/2006,Male,FRANCE,Plane,Iberia,I23633,Mark Little,2021-07-02,2022-07-01
Valverde TEENS-VOLUNTEER 1 WEEK from 07/09/2021 to 07/16/2021,18/08/2006,Female,USA,Plane,American Airlines,AA68,Tasha Goodman,2021-07-09,2022-07-08
Valverde TEENS-VOLUNTEER 1 WEEK from 07/09/2021 to 07/16/2021,16/06/2007,Female,USA,Plane,Lufthansa/United,LH7970,Wendy Thompson,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/16/2021 to 07/23/2021,22/03/2005,Female,USA,Plane,Virgin Atlantic,VS3889,Natasha Long,2021-07-16,2022-07-15
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/09/2021 to 07/23/2021,07/02/2006,Male,USA,Plane,United Airlines,UA51,David Donaldson,2021-07-09,2022-07-08
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/16/2021 to 07/23/2021,20/09/2005,Male,USA,Plane,American Airlines,AA94,Darrell Bass,2021-07-16,2022-07-15
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/02/2021 to 07/09/2021,03/02/2006,Male,UNITED KINGDOM,Plane,Brussels Airlines,SN3721,John Combs,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/02/2021 to 07/09/2021,16/01/2006,Male,UNITED KINGDOM,Plane,Iberia,IB3633,Sean Moore,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 2 WEEKS from 07/02/2021 to 07/16/2021,11/11/2004,Female,IRELAND,Plane,Ryanair,FR7256,Danielle Livingston,2021-07-02,2022-07-01
La Alberca TEENS-VOLUNTEER 1 WEEK from 07/16/2021 to 07/23/2021,16/06/2004,Female,CANADA,Plane,Air Europa,UX1502,Nicole Rangel,2021-07-16,2022-07-15
